dt,user_pseudo_id,event_name,category,continent,country,region,medium,source
2023-07-31 16:02:01.000000 UTC,70159200.17,Q9-2,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:02:04.000000 UTC,70159200.17,Q10-1,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:02:09.000000 UTC,70159200.17,page_view,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:02:09.000000 UTC,70159200.17,result_4,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:02:09.000000 UTC,70159200.17,60 % Scroll,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:02:10.000000 UTC,70159200.17,90 % Scroll,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-31 16:02:15.000000 UTC,70159200.17,scroll,mobile,Asia,South Korea,Seoul,referral,l.instagram.com
2023-07-30 18:04:16.000000 UTC,95109613.17,first_visit,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:04:16.000000 UTC,95109613.17,session_start,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:04:16.000000 UTC,95109613.17,page_view,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:04:21.000000 UTC,95109613.17,scroll,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:04:23.000000 UTC,95109613.17,start_bnt,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:04:24.000000 UTC,95109613.17,page_view,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:04:29.000000 UTC,95109613.17,scroll,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:04:38.000000 UTC,95109613.17,Q1-2,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:04:47.000000 UTC,95109613.17,Q2-1,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:04:53.000000 UTC,95109613.17,Q3-1,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:04:53.000000 UTC,95109613.17,Q4-1,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:05:03.000000 UTC,95109613.17,Q5-2,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:05:03.000000 UTC,95109613.17,Q6-1,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:05:17.000000 UTC,95109613.17,Q7-2,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:05:17.000000 UTC,95109613.17,Q8-2,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:05:28.000000 UTC,95109613.17,Q9-2,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:05:34.000000 UTC,95109613.17,Q10-1,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:05:37.000000 UTC,95109613.17,page_view,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:05:37.000000 UTC,95109613.17,result_4,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:05:37.000000 UTC,95109613.17,60 % Scroll,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:05:37.000000 UTC,95109613.17,90 % Scroll,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:05:42.000000 UTC,95109613.17,scroll,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:05:42.000000 UTC,95109613.17,kakao_share_bnt,mobile,Asia,South Korea,,(none),(direct)
2023-07-30 18:05:51.000000 UTC,95109613.17,kakao_share_bnt,mobile,Asia,South Korea,,(none),(direct)
2023-08-03 14:22:00.000000 UTC,97219038.17,first_visit,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:22:00.000000 UTC,97219038.17,session_start,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:22:00.000000 UTC,97219038.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:22:01.000000 UTC,97219038.17,start_bnt,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:22:01.000000 UTC,97219038.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:22:06.000000 UTC,97219038.17,scroll,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:22:28.000000 UTC,97219038.17,Q1-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:22:43.000000 UTC,97219038.17,Q2-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:23:00.000000 UTC,97219038.17,Q3-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:23:04.000000 UTC,97219038.17,Q4-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:23:22.000000 UTC,97219038.17,Q5-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:23:22.000000 UTC,97219038.17,Q6-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:23:35.000000 UTC,97219038.17,Q7-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:23:35.000000 UTC,97219038.17,Q8-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:23:47.000000 UTC,97219038.17,result_2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:23:47.000000 UTC,97219038.17,Q9-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:23:47.000000 UTC,97219038.17,Q10-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:23:47.000000 UTC,97219038.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:23:53.000000 UTC,97219038.17,60 % Scroll,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:23:53.000000 UTC,97219038.17,90 % Scroll,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:23:58.000000 UTC,97219038.17,scroll,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:24:05.000000 UTC,97219038.17,result_share_bnt,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:24:20.000000 UTC,97219038.17,user_engagement,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:24:20.000000 UTC,97219038.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:24:20.000000 UTC,97219038.17,scroll,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:24:21.000000 UTC,97219038.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:25:10.000000 UTC,97219038.17,result_2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-03 14:25:10.000000 UTC,97219038.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:09:16.000000 UTC,97557853.17,first_visit,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:09:16.000000 UTC,97557853.17,session_start,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:09:16.000000 UTC,97557853.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:09:17.000000 UTC,97557853.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:09:17.000000 UTC,97557853.17,start_bnt,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:09:22.000000 UTC,97557853.17,scroll,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:09:34.000000 UTC,97557853.17,Q1-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:09:41.000000 UTC,97557853.17,Q2-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:09:49.000000 UTC,97557853.17,Q3-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:09:49.000000 UTC,97557853.17,Q4-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:10:01.000000 UTC,97557853.17,Q5-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:10:01.000000 UTC,97557853.17,Q6-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:10:15.000000 UTC,97557853.17,Q7-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:10:25.000000 UTC,97557853.17,Q8-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:10:36.000000 UTC,97557853.17,Q9-1,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:10:36.000000 UTC,97557853.17,Q10-2,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:10:37.000000 UTC,97557853.17,page_view,mobile,Asia,South Korea,Seoul,(none),(direct)
2023-08-02 08:10:37.000000 UTC,97557853.17,result_1,mobile,Asia,South Korea,Seoul,(none),(direct)
